kategori,text
4,"['health', 'lemon', 'water', 'lemon', 'water', 'health', 'health', 'healthy', 'healthy', 'healthy', 'change', 'magazine']"
4,"['start', 'every', 'day', 'healthy', 'take', 'care', 'body', 'mind', 'n', 'health', 'health', 'quote', 'health', 'health', 'fact', 'healthy', 'healthy', 'health', 'tip', 'health', 'healthy']"
4,"['get', 'six', 'pack', 'workout', 'meal', 'plan', 'men', 'n', 'read', 'article', 'n', 'six', 'pack', 'workout', 'digital', 'marketing', 'veteran', 'belly', 'fat', 'tony', 'lee', 'healthy', 'healthy', 'healthy', 'challenge']"
4,"['answer', 'n', 'become', 'healthy', 'healthy', 'life', 'healthy', 'digital', 'marketing', 'veteran', 'tony', 'lee', 'health', 'journey', 'health', 'journey', 'healthy', 'healthy', 'healthy', 'challenge', 'healthy', 'life', 'happy', 'life']"
4,"['pause', 'minute', 'reader', 'take', 'break', 'go', 'reminder', 'list', 'remind', 'take', 'moment', 'think', 'body', 'may', 'health', 'national', 'health', 'awareness', 'month', 'month', 'health', 'healthy', 'living', 'healthy', 'living', 'healthy']"
4,"['n', 'n', 'citrus', 'n', 'fiber', 'rich', 'oatmeal', 'n', 'n', 'green', 'leafy', 'health', 'daily', 'health', 'awareness', 'healthy']"
4,"['may', 'spread', 'lymph', 'body', 'breast', 'linked', 'gene', 'family', 'n', 'month', 'health', 'healthy', 'living', 'healthy', 'living', 'healthy', 'breast', 'examination']"
4,"['take', 'care', 'one', 'body', 'get', 'health', 'health', 'wellness', 'health', 'health', 'fitness', 'health', 'coach', 'health', 'coaching', 'health', 'coach', 'healthy', 'healthy', 'living', 'healthy', 'healthy']"
4,"['proper', 'nutrition', 'plant', 'based', 'diet', 'healthy', 'via']"
4,"['three', 'radon', 'gas', 'dangerous', 'pet', 'protect', 'healthy']"
4,"['n', 'live', 'x', 'health', 'spot', 'health', 'news', 'ya', 'healthy', 'lemon', 'juice', 'healthy', 'healthy']"
4,"['may', 'health', 'national', 'health', 'awareness', 'month', 'month', 'health', 'healthy', 'living', 'healthy', 'living', 'healthy']"
4,"['body', 'sending', 'dont', 'ignore', 'consult', 'doctor', 'th', 'today', 'address', 'health', 'th', 'total', 'health', 'doctor', 'doctor', 'visit', 'doctor', 'appointment', 'non', 'line', 'doctor', 'healthy', 'n', 'virtual', 'doctor']"
4,"['long', 'live', 'king', 'summer', 'watermelon', 'health', 'stay', 'healthy', 'healthy', 'living', 'healthy', 'digital', 'digital', 'te']"
4,"['feel', 'choose', 'healthy', 'way', 'cope', 'choose', 'wisely', 'healthy', 'healthy', 'life', 'healthy', 'happiness', 'affirmation', 'train', 'affirmation', 'day', 'affirmation', 'self', 'confidence']"
4,"['healthy', 'eating', 'may', 'seem', 'game', 'easily', 'begin', 'healthy', 'eating', 'journey', 'try', 'follow', 'today', 'net', 'g', 'g', 'healthy', 'healthy', 'eating', 'healthy', 'eating', 'healthy', 'life', 'healthy', 'eating', 'journey']"
4,"['everyone', 'drinking', 'water', 'important', 'many', 'u', 'often', 'forget', 'much', 'impact', 'health', 'heather', 'brown', 'many', 'local', 'news', 'healthy', 'stay', 'hydrated']"
4,"['invest', 'future', 'making', 'healthy', 'today', 'health', 'stay', 'healthy', 'healthy', 'living', 'healthy', 'digital', 'digital', 'te']"
4,"['take', 'time', 'day', 'even', 'meditate', 'go', 'walk', 'enjoy', 'cup', 'te', 'ann', 'self', 'care', 'healthy', 'life', 'healthy', 'self', 'confidence']"
4,"['burn', 'fitness', 'ark', 'n', 'healthy', 'n', 'calorie', 'burn', 'n', 'fitness', 'motivation', 'n', 'fitness', 'n', 'fitness', 'n', 'healthy', 'n', 'fitness', 'n', 'fitness', 'n', 'healthy', 'n', 'burn', 'fat', 'n', 'weight', 'loss', 'motivation', 'fam', 'n', 'fitness', 'community', 'pi', 'ration']"
4,"['get', 'motivation', 'motivation', 'healthy', 'healthy', 'healthy', 'healthy', 'health', 'wellness', 'healthy', 'health', 'coach', 'health', 'coaching']"
4,"['pain', 'fatigue', 'bloating', 'erased', 'diet', 'healthy', 'via']"
4,"['important', 'keep', 'moving', 'healthy', 'healthy', 'healthy', 'healthy', 'healthy', 'healthy', 'life', 'health', 'coach', 'health', 'coaching']"
4,"['small', 'role', 'big', 'impact', 'learn', 'lower', 'risk', 'heart', 'disease', 'nth', 'total', 'health', 'non', 'line', 'doctor', 'n', 'doctor', 'visit', 'doctor', 'appointment', 'non', 'line', 'doctor', 'healthy', 'healthy', 'n', 'virtual', 'doctor']"
4,"['homemade', 'get', 'rid', 'tooth', 'gum', 'pain', 'teeth', 'teeth', 'cleaning', 'teeth', 'care', 'tooth', 'tooth', 'teeth', 'smile', 'toothache', 'dentist', 'dentistry', 'tooth', 'pain', 'medicine', 'gum', 'health', 'healthy', 'healthy', 'healthy', 'life', 'healthy', 'homemade']"
4,"['top', 'health', 'fitness', 'need', 'known', 'health', 'fitness', 'fitness', 'health', 'fitness', 'knowledge', 'health', 'knowledge', 'exercise', 'wellness', 'workout', 'healthy', 'fitness', 'education', 'fitness']"
4,"['good', 'cure', 'soul', 'grace', 'compassion', 'towards', 'help', 'achieve', 'life', 'li', 'cancer', 'hospital', 'cancer', 'hospital', 'good', 'healthy', 'good', 'health']"
4,"['ultimate', 'guide', 'starting', 'healthy', 'healthy', 'healthy', 'change', 'healthy', 'healthy', 'healthy', 'journey', 'healthy', 'eats', 'healthy', 'follow', 'men', 'link', 'n']"
4,"['join', 'u', 'enhance', 'quality', 'actionable', 'health', 'stay', 'healthy', 'healthy', 'living', 'healthy', 'digital', 'digital', 'te']"
4,"['video', 'overeat', 'life', 'coach', 'n', 'food', 'psychology', 'healthy', 'emotional', 'eating', 'health', 'coach', 'workplace', 'burnout', 'burnout', 'prevention']"
4,"['endow', 'magical', 'quality', 'helping', 'sleep', 'hypnotherapy', 'p', 'night', 'eating', 'insomnia', 'peri', 'menopause', 'menopause', 'weight', 'loss', 'life', 'coach', 'n', 'food', 'psychology', 'healthy', 'emotional', 'eating', 'health', 'coach', 'workplace']"
4,"['vital', 'overall', 'health', 'big', 'impact', 'function', 'hydrated', 'eating', 'healthy', 'diet', 'small', 'make', 'big', 'difference', 'keeping', 'healthy', 'kidney', 'health', 'healthy']"
4,"['bucky', 'ball', 'carbon', 'like', 'world', 'saving', 'day', 'amazing', 'keep', 'open', 'mind', 'might', 'stumble', 'upon', 'something', 'incredible', 'healthy']"
4,"['health', 'brain', 'aging', 'healthy', 'bad', 'weak', 'brain']"
4,"['summer', 'skin', 'watch', 'prevention', 'key', 'nth', 'total', 'health', 'non', 'line', 'doctor', 'n', 'doctor', 'visit', 'doctor', 'appointment', 'non', 'line', 'doctor', 'healthy', 'healthy', 'n', 'virtual', 'doctor', 'virtual', 'doctor', 'visit']"
4,"['unlock', 'potential', 'transform', 'body', 'achieve', 'weight', 'loss', 'success', 'short', 'n', 'motivation', 'losing', 'weight', 'healthy', 'happy', 'life', 'healthy', 'n']"
4,"['eating', 'meat', 'raw', 'healthy', 'via']"
4,"['traveling', 'doesnt', 'mean', 'sacrificing', 'health', 'fitness', 'embrace', 'opportunity', 'hit', 'gym', 'resort', 'stay', 'track', 'ale', 'island', 'healthy', 'traveler', 'fit', 'life', 'beach', 'resort', 'gym', 'life', 'fitness', 'healthy', 'get', 'fit', 'travel', 'visit']"
4,"['fuel', 'body', 'mind', 'goodness', 'healthy', 'health', 'stay', 'healthy', 'healthy', 'living', 'healthy', 'digital', 'digital', 'te']"
4,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n']"
4,"['body', 'high', 'sugar', 'taken', 'n', 'health', 'healthy', 'healthy', 'food', 'healthy', 'life', 'healthy', 'healthy', 'sugar', 'high', 'sugar', 'sugar', 'high']"
4,"['hydrate', 'body', 'refresh', 'soul', 'delicious', 'water', 'water', 'healthy', 'living', 'hydration', 'nation']"
4,"['n', 'healthy', 'news']"
4,"['focus', 'progress', 'perfection', 'weight', 'loss', 'motivation', 'motivational', 'speech', 'short', 'n', 'motivation', 'losing', 'weight', 'healthy', 'happy', 'life', 'healthy', 'n']"
4,"['malaria', 'spike', 'world', 'malaria', 'day', 'call', 'doc', 'world', 'malaria', 'day', 'healthy']"
4,"['exercise', 'fitness', 'yoga', 'life', 'healthy']"
4,"['book', 'appointment', 'call', 'u', 'visit', 'protein', 'dietician', 'healthy', 'food', 'healthy', 'speciality', 'hospital', 'hard']"
4,"['want', 'promote', 'healthy', 'aging', 'extend', 'n', 'ness', 'x', 'potent', 'c', 'anti', 'inflammatory', 'experience', 'better', 'mood', 'body', 'longer', 'life', 'healthy']"
4,"['n', 'medical', 'k', 'medical', 'college', 'k', 'medical', 'hospital', 'best', 'hospital', 'fitness', 'healthy', 'eating', 'healthy', 'sugar', 'high', 'blood', 'sugar', 'blood', 'sugar', 'low', 'blood', 'sugar', 'sugar']"
4,"['make', 'time', 'rest', 'movement', 'healthy', 'healthy', 'living', 'healthy', 'healthy', 'healthy', 'life', 'healthy', 'healthy', 'health', 'health', 'wellness', 'health', 'awareness', 'health', 'coach', 'health', 'coaching']"
4,"['n', 'green', 'tea', 'green', 'tea', 'healthy', 'life', 'healthy']"
4,"['since', 'finally', 'found', 'solution', 'taking', 'es', 'regularly', 'since', 'single', 'migraine', 'even', 'wife', 'used', 'suffer', 'nine', 'month', 'pretty', 'phenomenal', 'healthy']"
4,"['healthy', 'healthy', 'health', 'news', 'update', 'healthy']"
4,"['organic', 'wan', 'na', 'make', 'healthy', 'n', 'dawn', 'n', 'dusk', 'dawn', 'n', 'dusk', 'organic', 'food', 'tea', 'teatime', 'life', 'herbal', 'tea', 'food', 'food', 'ie', 'lover', 'green', 'tea', 'healthy', 'food', 'health', 'healthy']"
4,"['want', 'make', 'reality', 'start', 'good', 'night', 'sleep', 'success', 'effort', 'also', 'proper', 'rest', 'recovery', 'start', 'taking', 'care', 'body', 'today', 'healthy']"
4,"['harm', 'help', 'body', 'remain', 'healthy', 'get', 'known', 'n', 'harm', 'health', 'healthy', 'living', 'essential', 'balance', 'healthy']"
4,"['fun', 'natural', 'honey', 'n', 'natural', 'h', 'honey', 'n', 'natural', 'healthy', 'tasty', 'sell', 'process', 'package', 'n', 'call', 'natural', 'natural', 'h', 'honey', 'natural', 'healthy', 'tasty', 'healthy', 'living', 'healthy', 'cold']"
4,"['exercise', 'fitness', 'yoga', 'li', 'healthy']"
4,"['dont', 'watch', 'clock', 'start', 'binge', 'eating', 'intermittent', 'fasting', 'instead', 'transition', 'slowly', 'listen', 'body', 'stay', 'hydrated', 'unlock', 'power', 'intermittent', 'fasting', 'today', 'healthy']"
